ATM PostBridge-ISO,11111,,,
Generic FieldName,ATM Field (OUT),L1FieldName,ISO 8583 Field(IN),L3FieldName
Transaction Date,transaction_date,message_collection[0].message_exchange.response.audit_info.created_on,Local Transaction Date,message_collection[1].message_exchange.response.audit_info.created_on
Approval Code,response_code,message_collection[0].message_exchange.response.response_code,Response,message_collection[1].message_exchange.response.response_code
Auth Code,authorization_code,message_collection[0].message_exchange.response.transaction_response.auth_code,AuthorisationCode,message_collection[1].message_exchange.response.transaction_response.auth_code
Authorized Amount,authorized_amount,message_collection[0].message_exchange.response.transaction_response.additional_amount_map.authorised_amount.amount,TotalAmount,message_collection[1].message_exchange.response.transaction_response.additional_amount_map.authorised_amount.amount
Authorized Amount Currency,authorizedAmountCurrency,message_collection[0].message_exchange.response.transaction_response.additional_amount_map.authorised_amount.currency_code,Currency,message_collection[1].message_exchange.response.transaction_response.additional_amount_map.authorised_amount.currency_code
